age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
31,Private,137952,10,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
36,Private,103323,12,Married,Managerial-Specialist,Husband,White,Male,2829,0,40,US,0
46,Private,174426,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
46,Non-Private,192779,12,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,2258,38,US,1
32,Private,169955,10,Married,Other,Non-Husband,White,Female,0,0,36,Non-US,0
43,Non-Private,48087,9,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
30,Private,132601,13,Married,Managerial-Specialist,Husband,White,Male,99999,0,50,US,1
41,Non-Private,253060,13,Married,Other,Husband,White,Male,7688,0,45,US,1
50,Private,108435,14,Married,Managerial-Specialist,Husband,White,Male,99999,0,60,US,1
37,Non-Private,210452,14,Married,Managerial-Specialist,Husband,White,Male,0,0,38,US,0
22,Non-Private,134181,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
51,Non-Private,45487,9,Married,Other,Husband,White,Male,0,0,80,US,0
47,Private,183522,10,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,1
40,Private,199303,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
46,Private,83064,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
23,Private,134997,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
30,Private,44419,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
27,Non-Private,442612,9,Married,Other,Husband,White,Male,0,0,65,US,1
31,Non-Private,158092,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
31,Private,374833,2,Married,Other,Husband,White,Male,0,0,40,Non-US,0
30,Private,112650,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
50,Non-Private,183390,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,1
27,Private,207418,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
22,Private,335453,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,16,US,0
29,Private,243660,9,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
28,Private,54243,9,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
54,Private,50385,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,45,US,1
47,Non-Private,187581,11,Married,Other,Husband,White,Male,0,0,48,US,1
34,Private,37380,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
26,Private,247025,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
53,Private,29231,4,Married,Other,Husband,White,Male,0,0,35,US,0
23,Non-Private,101094,10,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
42,Non-Private,176716,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
36,Non-Private,118429,9,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
52,Non-Private,221532,13,Married,Other,Husband,White,Male,0,0,45,US,1
22,Non-Private,120572,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
27,Non-Private,124680,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
42,Private,153160,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
39,Private,114678,9,Non-Married,Other,Non-Husband,Non-White,Female,5455,0,40,US,0
49,Non-Private,142856,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
36,Private,29702,9,Married,Other,Husband,White,Male,7688,0,40,US,1
20,Private,277700,1,Non-Married,Other,Non-Husband,White,Male,0,0,32,US,0
55,Non-Private,67433,9,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,0
47,Private,121124,5,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
33,Private,394447,14,Married,Managerial-Specialist,Husband,White,Male,0,0,33,US,1
36,Private,79649,10,Married,Other,Husband,White,Male,0,0,40,US,0
39,Private,203763,16,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,80,US,0
55,Private,229029,13,Married,Managerial-Specialist,Husband,White,Male,15024,0,48,US,1
21,Private,494638,12,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,15,US,0
48,Private,162816,12,Married,Other,Husband,White,Male,0,0,45,US,0
30,Private,109117,11,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
24,Private,32732,9,Married,Other,Husband,White,Male,0,0,50,US,0
57,Non-Private,217692,9,Non-Married,Other,Non-Husband,White,Female,0,0,38,US,0
20,Private,34590,10,Non-Married,Other,Non-Husband,White,Male,0,0,60,US,0
18,Private,276864,10,Non-Married,Other,Non-Husband,White,Female,0,1602,20,US,0
56,Private,168625,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,4101,0,40,US,0
36,Private,91037,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
44,Private,171484,6,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
57,Private,200453,9,Married,Other,Husband,White,Male,15024,0,40,US,1
57,Private,36990,9,Married,Other,Husband,Non-White,Male,0,0,52,US,0
33,Private,198211,9,Married,Other,Husband,White,Male,0,0,40,US,0
61,Private,30475,4,Married,Other,Husband,White,Male,0,0,40,US,1
39,Private,70995,13,Married,Other,Husband,White,Male,15024,0,99,US,1
28,Private,245790,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
31,Private,273324,10,Non-Married,Other,Non-Husband,White,Male,0,1721,16,US,0
60,Private,182687,12,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
36,Non-Private,247807,11,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,1
58,Private,163113,9,Non-Married,Other,Non-Husband,White,Female,0,0,35,US,1
50,Private,180522,10,Non-Married,Other,Non-Husband,White,Male,0,0,38,US,0
23,Non-Private,203353,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,12,US,0
30,Private,87469,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
20,Private,216563,7,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
90,Private,87372,15,Married,Managerial-Specialist,Husband,White,Male,20051,0,72,US,1
49,Non-Private,173584,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
47,Non-Private,80282,13,Married,Managerial-Specialist,Husband,White,Male,3137,0,40,US,0
34,Private,319854,16,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,Non-US,1
37,Non-Private,408229,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
25,Private,431307,6,Married,Other,Non-Husband,Non-White,Female,0,0,50,US,0
37,Private,134088,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
47,Private,246396,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,Non-US,0
34,Private,159255,9,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,1
34,Private,106014,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
35,Private,186934,9,Married,Managerial-Specialist,Husband,White,Male,7688,0,50,US,1
39,Private,120130,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
32,Non-Private,203849,4,Married,Other,Husband,White,Male,0,0,19,US,0
24,Private,207940,9,Married,Other,Non-Husband,White,Female,0,0,30,US,0
28,Private,302406,15,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,60,US,0
41,Non-Private,144594,4,Married,Other,Husband,White,Male,0,2179,40,US,0
69,Non-Private,171050,9,Non-Married,Other,Non-Husband,White,Female,0,0,9,US,0
32,Private,459007,9,Married,Other,Husband,White,Male,0,0,90,US,0
58,Private,372181,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,1
47,Non-Private,172034,9,Married,Other,Husband,White,Male,0,0,75,US,1
41,Private,156566,13,Married,Managerial-Specialist,Husband,White,Male,4386,0,50,US,1
35,Non-Private,338320,9,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
24,Private,353696,10,Non-Married,Other,Non-Husband,White,Male,0,0,20,Non-US,0
46,Non-Private,342907,9,Married,Other,Husband,Non-White,Male,0,0,60,US,1
69,Non-Private,169717,13,Married,Managerial-Specialist,Husband,White,Male,6418,0,45,US,1
22,Private,103762,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
36,Non-Private,47570,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
31,Private,119432,13,Married,Other,Husband,White,Male,0,0,40,US,1
23,Non-Private,144165,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,30,US,0
35,Private,180647,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
37,Non-Private,312232,13,Married,Other,Husband,White,Male,5178,0,40,US,1
35,Non-Private,150488,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
18,Private,200876,7,Non-Married,Other,Non-Husband,White,Male,0,0,16,US,0
43,Private,188199,5,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
53,Non-Private,118793,9,Married,Other,Husband,White,Male,0,0,40,US,0
54,Non-Private,204325,10,Married,Other,Husband,White,Male,0,0,52,US,0
29,Private,256671,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
46,Private,231515,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,47,Non-US,0
24,Private,100669,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,30,US,0
30,Private,88913,10,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
23,Private,363219,10,Non-Married,Other,Non-Husband,White,Female,0,0,6,US,0
27,Private,291547,13,Married,Other,Non-Husband,Non-White,Female,0,0,6,Non-US,0
36,Private,308945,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
38,Non-Private,100316,13,Married,Other,Husband,White,Male,0,0,35,US,0
33,Private,296453,14,Married,Other,Husband,White,Male,0,0,15,US,0
66,Private,298834,10,Married,Other,Husband,White,Male,0,0,40,Non-US,0
45,Non-Private,188694,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
68,Non-Private,29240,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,12,US,0
37,Private,186934,9,Married,Other,Husband,White,Male,15024,0,60,US,1
17,Private,154908,6,Non-Married,Other,Non-Husband,White,Female,0,0,10,US,0
31,Private,22201,9,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,1
46,Private,216999,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,55,US,1
40,Private,186916,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
34,Private,116677,10,Married,Other,Husband,White,Male,0,0,40,US,0
56,Private,95763,6,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
42,Private,266710,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,41,US,0
46,Private,117849,14,Married,Managerial-Specialist,Husband,White,Male,0,0,55,US,1
30,Private,242460,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
33,Non-Private,202729,13,Married,Other,Husband,White,Male,0,0,40,US,1
47,Private,181652,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
57,Non-Private,174760,12,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
34,Private,56121,7,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
40,Private,390369,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
33,Private,149726,9,Married,Other,Husband,White,Male,0,0,40,US,1
22,Private,51262,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
29,Private,190350,8,Non-Married,Other,Non-Husband,Non-White,Female,0,0,35,US,0
53,Non-Private,205288,9,Married,Managerial-Specialist,Non-Husband,White,Female,7688,0,35,US,1
36,Private,154835,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
45,Private,89028,9,Non-Married,Other,Non-Husband,Non-White,Male,10520,0,40,US,1
36,Private,194630,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
18,Non-Private,212207,9,Non-Married,Other,Non-Husband,White,Male,0,0,11,US,0
27,Private,204788,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
30,Private,158688,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
34,Private,97723,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
36,Private,193026,13,Married,Other,Husband,White,Male,0,0,40,US,1
36,Non-Private,257250,4,Non-Married,Other,Non-Husband,White,Male,0,0,75,US,0
48,Private,355978,14,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
41,Non-Private,200574,15,Married,Managerial-Specialist,Husband,White,Male,0,1977,60,US,1
21,Private,376929,3,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
47,Non-Private,123219,14,Married,Managerial-Specialist,Husband,White,Male,0,0,38,US,1
41,Private,82778,2,Married,Other,Husband,White,Male,0,0,40,Non-US,0
61,Non-Private,115882,2,Married,Other,Husband,White,Male,0,0,20,US,0
64,Private,103021,4,Married,Other,Husband,White,Male,0,0,40,US,0
35,Private,297767,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
44,Private,259479,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
20,Private,167787,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
23,Non-Private,40021,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,70,US,0
52,Private,245275,6,Married,Other,Non-Husband,White,Female,0,0,35,US,0
43,Private,37402,14,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,25,US,0
32,Private,103608,13,Married,Other,Husband,Non-White,Male,0,0,40,US,0
63,Private,137192,13,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,0
29,Private,137618,10,Non-Married,Other,Non-Husband,White,Female,0,0,41,US,1
42,Non-Private,96509,10,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,60,Non-US,0
65,Private,196174,6,Non-Married,Other,Non-Husband,White,Female,0,0,28,US,0
24,Private,172612,9,Married,Other,Husband,White,Male,0,0,40,US,0
42,Private,141186,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
35,Private,228190,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
40,Non-Private,190290,13,Married,Other,Husband,White,Male,0,0,40,US,1
38,Non-Private,307404,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
26,Private,152436,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
46,Non-Private,182541,9,Married,Other,Husband,White,Male,0,1672,50,US,0
39,Private,282153,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
29,Private,41281,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
42,Private,162003,16,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,36,US,1
36,Private,190759,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
26,Private,208122,10,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
57,Private,173832,13,Married,Other,Husband,White,Male,0,1902,40,US,1
55,Private,129173,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
35,Private,287548,10,Married,Other,Husband,White,Male,0,0,55,US,1
41,Private,216116,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
24,Private,146706,10,Non-Married,Other,Non-Husband,White,Female,0,0,30,US,0
47,Private,285200,9,Married,Other,Husband,White,Male,0,0,40,US,0
34,Non-Private,314375,10,Married,Other,Husband,White,Male,0,0,60,US,1
44,Private,203943,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,35,US,1
18,Private,274746,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,US,0
27,Private,517000,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,35,US,0
36,Private,66173,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
21,Private,182823,13,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
29,Private,159479,9,Married,Other,Husband,Non-White,Male,0,0,55,US,0
25,Private,135568,9,Married,Other,Husband,White,Male,0,0,40,US,0
73,Private,333676,9,Married,Other,Husband,White,Male,0,0,50,US,0
45,Private,201699,11,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
28,Private,96020,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,1
43,Private,176138,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
47,Private,47496,9,Non-Married,Other,Non-Husband,White,Male,0,0,42,US,0
20,Private,187158,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,15,US,0
22,Private,249727,10,Non-Married,Other,Non-Husband,White,Male,0,0,20,US,0
76,Non-Private,237624,4,Married,Other,Husband,White,Male,0,0,10,US,0
24,Private,175254,10,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
54,Non-Private,42924,10,Married,Other,Husband,White,Male,0,0,50,US,0
30,Private,205950,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
33,Private,111985,10,Married,Other,Husband,White,Male,0,0,58,US,0
30,Private,167476,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
40,Private,221172,12,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
27,Private,188711,10,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,30,US,0
49,Private,199448,11,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
30,Private,313038,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
22,Private,148431,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
19,Private,112432,9,Married,Other,Husband,White,Male,0,0,58,US,0
46,Private,57914,9,Married,Other,Husband,White,Male,0,0,40,US,0
51,Private,145166,9,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
56,Private,247119,4,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
53,Private,196278,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
60,Private,366531,11,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
27,Private,216481,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
46,Private,188027,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,0
37,Private,66686,9,Married,Other,Husband,White,Male,0,0,40,US,1
41,Private,74775,13,Married,Other,Husband,Non-White,Male,0,0,30,Non-US,0
65,Private,325537,11,Married,Other,Husband,White,Male,0,0,50,US,1
30,Non-Private,250499,10,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,55,US,1
57,Non-Private,192869,9,Married,Other,Husband,White,Male,0,0,72,US,0
44,Non-Private,121352,10,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
32,Non-Private,70985,9,Married,Other,Husband,White,Male,4064,0,40,US,0
27,Non-Private,123116,9,Married,Other,Husband,White,Male,0,0,40,US,0
57,Non-Private,339163,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,Non-US,0
59,Non-Private,124771,13,Married,Other,Husband,White,Male,0,0,30,US,0
32,Private,167531,15,Married,Managerial-Specialist,Non-Husband,Non-White,Female,15024,0,50,US,1
90,Private,77053,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,4356,40,US,0
22,Private,199266,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,30,US,0
39,Private,190728,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
43,Private,99212,11,Married,Managerial-Specialist,Husband,White,Male,3103,0,48,US,1
38,Non-Private,421446,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,50,US,1
61,Private,215944,5,Non-Married,Other,Non-Husband,White,Male,0,0,25,US,0
24,Private,72310,10,Non-Married,Other,Non-Husband,White,Male,0,0,43,US,0
25,Private,57512,10,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
44,Private,89413,11,Married,Other,Husband,White,Male,0,0,40,US,0
55,Non-Private,28151,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
90,Private,46786,13,Married,Other,Husband,White,Male,9386,0,15,US,1
30,Private,226943,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
44,Private,182402,9,Married,Other,Husband,White,Male,0,0,40,US,1
36,Private,305352,6,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
63,Non-Private,189253,10,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
60,Private,296485,3,Married,Other,Husband,White,Male,0,0,40,US,0
34,Non-Private,204375,15,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,60,US,1
49,Non-Private,249585,7,Married,Managerial-Specialist,Husband,White,Male,0,0,65,US,0
47,Private,148995,14,Married,Managerial-Specialist,Husband,White,Male,0,0,65,US,1
42,Non-Private,168071,9,Married,Other,Husband,White,Male,0,0,43,US,1
53,Private,194995,3,Married,Other,Husband,White,Male,0,0,45,Non-US,0
23,Private,211049,10,Non-Married,Other,Non-Husband,White,Female,4101,0,40,US,0
28,Private,196630,11,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
20,Private,50397,10,Married,Other,Husband,Non-White,Male,0,0,35,US,0
43,Private,177905,9,Married,Other,Husband,White,Male,3908,0,40,US,0
32,Private,204374,15,Married,Managerial-Specialist,Husband,White,Male,0,1977,60,US,1
43,Private,60001,13,Non-Married,Other,Non-Husband,White,Male,0,0,44,US,1
31,Private,223046,9,Married,Other,Husband,White,Male,0,0,60,US,0
29,Private,44921,9,Married,Other,Non-Husband,White,Female,0,0,40,US,0
24,Private,154571,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,20,US,0
39,Private,67136,11,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,40,US,0
29,Private,188675,10,Married,Other,Husband,Non-White,Male,0,0,40,Non-US,1
20,Private,390817,3,Non-Married,Other,Non-Husband,White,Male,0,0,25,Non-US,0
23,Private,145964,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
42,Private,30424,7,Non-Married,Other,Non-Husband,White,Female,0,0,38,US,0
53,Private,548361,9,Married,Other,Husband,White,Male,0,0,40,US,0
20,Private,189148,9,Married,Other,Husband,White,Male,0,0,48,US,0
58,Non-Private,266707,2,Married,Other,Husband,White,Male,0,2179,18,US,0
51,Non-Private,311569,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
25,Private,187653,9,Non-Married,Other,Non-Husband,White,Male,0,0,48,US,0
38,Private,235379,12,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,36,US,0
41,Private,188615,10,Married,Other,Husband,White,Male,0,0,40,US,1
58,Private,322691,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
25,Private,184698,6,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,Non-US,0
50,Private,144361,9,Married,Other,Husband,White,Male,0,0,40,US,0
32,Private,130057,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
31,Non-Private,117963,16,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
22,Private,123876,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
37,Private,248445,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
32,Private,207172,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
46,Non-Private,119904,15,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1564,55,US,1
62,Private,134768,9,Married,Other,Husband,White,Male,0,0,40,US,1
40,Non-Private,269168,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
56,Private,132026,13,Married,Other,Husband,Non-White,Male,7688,0,45,US,1
37,Private,60722,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,1
41,Private,648223,2,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
56,Private,298695,4,Married,Managerial-Specialist,Husband,White,Male,0,0,48,US,0
20,Private,219835,10,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
34,Non-Private,313729,13,Married,Other,Husband,White,Male,0,0,60,US,1
45,Private,140644,9,Married,Other,Husband,White,Male,0,0,50,US,1
30,Private,203488,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
51,Non-Private,132341,9,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
27,Private,161683,7,Married,Managerial-Specialist,Husband,White,Male,0,0,42,US,0
38,Private,312771,11,Married,Other,Husband,White,Male,0,0,40,US,1
39,Private,258102,10,Married,Other,Husband,White,Male,0,0,50,US,0
57,Private,24127,13,Married,Other,Husband,White,Male,0,0,8,US,0
47,Private,254367,10,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
77,Private,185426,9,Married,Managerial-Specialist,Husband,White,Male,0,0,15,US,0
43,Private,152629,9,Married,Other,Husband,White,Male,0,0,40,US,1
46,Non-Private,141058,9,Married,Managerial-Specialist,Husband,White,Male,0,0,65,US,0
41,Private,233130,10,Married,Other,Husband,White,Male,0,0,40,US,1
20,Private,406641,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,30,US,0
30,Non-Private,119422,6,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
30,Private,255486,9,Married,Other,Husband,Non-White,Male,0,0,25,US,0
22,Private,161532,10,Non-Married,Other,Non-Husband,White,Male,0,0,35,US,0
25,Private,75759,9,Married,Other,Husband,White,Male,0,0,44,US,1
18,Private,163332,9,Non-Married,Other,Non-Husband,White,Female,0,0,22,US,0
28,Private,103802,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,1408,40,US,0
50,Private,34832,13,Married,Other,Husband,White,Male,15024,0,40,US,1
28,Private,37933,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,48,US,0
21,Private,165107,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
37,Private,126011,11,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
28,Non-Private,56651,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
23,Private,522881,3,Married,Other,Husband,White,Male,0,0,35,Non-US,0
32,Private,191777,11,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,35,Non-US,0
27,Private,132686,8,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
55,Private,201112,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
44,Private,174283,9,Married,Other,Husband,White,Male,0,0,40,US,1
25,Private,208591,13,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
29,Private,126399,9,Non-Married,Other,Non-Husband,White,Female,0,0,32,US,0
50,Private,142073,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,55,US,0
18,Private,395567,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
74,Private,180455,13,Non-Married,Other,Non-Husband,White,Female,0,0,8,US,0
22,Private,235853,5,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
27,Private,160731,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
27,Non-Private,31935,10,Non-Married,Other,Non-Husband,White,Female,0,0,80,US,0
41,Private,35166,15,Married,Managerial-Specialist,Husband,White,Male,15024,0,50,US,1
24,Private,161092,10,Married,Managerial-Specialist,Husband,White,Male,7298,0,40,US,1
